financials.Discount Band,financials.Country,Sum(financials. Sales),Sum(financials.Profit),
High,United States of America,11140926.280000001,866326.7800000001,6257457.541250001
Low,United States of America,6273404.135000001,1147004.1349999998,6257457.541250001
Medium,United States of America,7168350.749999999,912328.75,6257457.541250001
None,United States of America,447149,69881,6257457.541250001
High,Canada,8657237.659999998,911261.1599999999,6221913.7212499995
Low,Canada,6537899.370000001,1140580.3699999999,6221913.7212499995
Medium,Canada,7865428.355,1093780.855,6221913.7212499995
None,Canada,1827089.5,383606.5,6221913.7212499995
High,France,5865834.735,535982.735,6088543.07
Low,France,5913163.185,1061776.1849999998,6088543.07
Medium,France,10057889.36,1619256.8599999999,6088543.07
None,France,2517285,564005,6088543.07
High,Germany,4878794.360000001,424957.35999999987,5876335.205
Low,Germany,10316608.08,1847355.0800000003,5876335.205
Medium,Germany,5824029.879999998,823095.88,5876335.205
None,Germany,2485908.5,584980.5,5876335.205
High,Mexico,6829693.690000001,650338.6900000002,5237338.0275
Low,Mexico,5588703.93,992141.93,5237338.0275
Medium,Mexico,7864732.489999999,1131060.4899999995,5237338.0275
None,Mexico,666222,133982,5237338.0275
