Opportunities.Campaign Name,Opportunities.DaysToClose,Opportunities.Opportunity Owner Name,Opportunities.Close %,Opportunities.Forecast %
(Blank),34,Molly Clark,100,0
(Blank),38,Molly Clark,100,94
(Blank),40,Molly Clark,100,98
(Blank),44,Molly Clark,100,62.6
(Blank),45,Molly Clark,100,0
(Blank),46,Molly Clark,0,0
(Blank),48,Molly Clark,100,100
(Blank),50,Molly Clark,100,0
(Blank),52,Molly Clark,100,104.89999999999999
(Blank),54,Molly Clark,100,103.66666666666666
(Blank),56,Molly Clark,100,52.300000000000004
(Blank),58,Molly Clark,100,95.06666666666666
(Blank),59,Molly Clark,100,121
(Blank),60,Molly Clark,100,0
(Blank),62,Molly Clark,100,87.63333333333333
(Blank),63,Molly Clark,100,62
(Blank),64,Molly Clark,100,119.24999999999999
(Blank),66,Molly Clark,100,93.89999999999999
(Blank),68,Molly Clark,100,106.25
(Blank),69,Molly Clark,0,0
(Blank),70,Molly Clark,100,106.65
(Blank),71,Molly Clark,0,0
(Blank),72,Molly Clark,100,94.675
(Blank),73,Molly Clark,100,119.5
(Blank),74,Molly Clark,100,79.7
(Blank),75,Molly Clark,100,77
(Blank),76,Molly Clark,100,100.325
(Blank),77,Molly Clark,100,117.75
(Blank),78,Molly Clark,100,121.9
(Blank),80,Molly Clark,100,145.2
(Blank),81,Molly Clark,0,0
(Blank),82,Molly Clark,100,127.4
(Blank),83,Molly Clark,0,0
(Blank),84,Molly Clark,91.37931034482759,143.1
(Blank),85,Molly Clark,0,0
(Blank),86,Molly Clark,93.84615384615384,87.94999999999999
(Blank),88,Molly Clark,98.06451612903226,117.575
(Blank),89,Molly Clark,100,126
(Blank),90,Molly Clark,95.37572254335261,108.55
(Blank),91,Molly Clark,100,109.66666666666667
(Blank),92,Molly Clark,48.148148148148145,112.99999999999999
(Blank),94,Molly Clark,66.66666666666666,111.75
(Blank),95,Molly Clark,50,0
(Blank),96,Molly Clark,42,112.66666666666667
(Blank),97,Molly Clark,100,0
(Blank),98,Molly Clark,18.75,93
(Blank),100,Molly Clark,0,0
(Blank),102,Molly Clark,49.09090909090909,87.85
(Blank),104,Molly Clark,0,0
(Blank),106,Molly Clark,0,0
(Blank),108,Molly Clark,0,0
(Blank),110,Molly Clark,0,0
(Blank),112,Molly Clark,0,0
(Blank),114,Molly Clark,0,0
(Blank),116,Molly Clark,0,0
(Blank),118,Molly Clark,0,0
Consumer Tradeshow,34,Molly Clark,100,0
Consumer Tradeshow,44,Molly Clark,100,0
Consumer Tradeshow,46,Molly Clark,0,0
Consumer Tradeshow,48,Molly Clark,100,72
Consumer Tradeshow,50,Molly Clark,100,60
Consumer Tradeshow,52,Molly Clark,100,56.99999999999999
Consumer Tradeshow,54,Molly Clark,0,0
Consumer Tradeshow,58,Molly Clark,100,124
Consumer Tradeshow,60,Molly Clark,100,0
Consumer Tradeshow,62,Molly Clark,100,102.66666666666666
Consumer Tradeshow,63,Molly Clark,100,0
Consumer Tradeshow,64,Molly Clark,0,0
Consumer Tradeshow,66,Molly Clark,100,120.5
Consumer Tradeshow,68,Molly Clark,100,0
Consumer Tradeshow,69,Molly Clark,0,0
Consumer Tradeshow,70,Molly Clark,100,68
Consumer Tradeshow,72,Molly Clark,100,92.2
Consumer Tradeshow,74,Molly Clark,100,61
Consumer Tradeshow,75,Molly Clark,100,0
Consumer Tradeshow,76,Molly Clark,100,88
Consumer Tradeshow,77,Molly Clark,0,0
Consumer Tradeshow,78,Molly Clark,100,51
Consumer Tradeshow,80,Molly Clark,0,0
Consumer Tradeshow,82,Molly Clark,100,0
Consumer Tradeshow,83,Molly Clark,0,0
Consumer Tradeshow,84,Molly Clark,100,63
Consumer Tradeshow,85,Molly Clark,0,0
Consumer Tradeshow,86,Molly Clark,100,0
Consumer Tradeshow,88,Molly Clark,100,108
Consumer Tradeshow,89,Molly Clark,0,0
Consumer Tradeshow,90,Molly Clark,100,0
Consumer Tradeshow,91,Molly Clark,100,0
Consumer Tradeshow,92,Molly Clark,0,0
Consumer Tradeshow,94,Molly Clark,0,0
Consumer Tradeshow,96,Molly Clark,0,0
Consumer Tradeshow,98,Molly Clark,0,0
Consumer Tradeshow,100,Molly Clark,0,0
Consumer Tradeshow,102,Molly Clark,0,0
Consumer Tradeshow,104,Molly Clark,0,0
Consumer Tradeshow,116,Molly Clark,0,0
Consumer Tradeshow,103,Molly Clark,100,0
Customer Care Campaign,38,Molly Clark,0,0
Customer Care Campaign,46,Molly Clark,0,0
Customer Care Campaign,52,Molly Clark,100,0
Customer Care Campaign,54,Molly Clark,0,0
Customer Care Campaign,56,Molly Clark,0,0
Customer Care Campaign,58,Molly Clark,100,76
Customer Care Campaign,60,Molly Clark,0,0
Customer Care Campaign,62,Molly Clark,100,149
Customer Care Campaign,64,Molly Clark,100,0
Customer Care Campaign,66,Molly Clark,100,0
Customer Care Campaign,68,Molly Clark,100,57.99999999999999
Customer Care Campaign,69,Molly Clark,0,0
Customer Care Campaign,70,Molly Clark,100,0
Customer Care Campaign,72,Molly Clark,100,75
Customer Care Campaign,74,Molly Clark,100,90
Customer Care Campaign,75,Molly Clark,100,0
Customer Care Campaign,76,Molly Clark,0,0
Customer Care Campaign,77,Molly Clark,0,0
Customer Care Campaign,78,Molly Clark,100,142
Customer Care Campaign,80,Molly Clark,0,0
Customer Care Campaign,82,Molly Clark,100,147
Customer Care Campaign,83,Molly Clark,0,0
Customer Care Campaign,84,Molly Clark,0,0
Customer Care Campaign,86,Molly Clark,0,0
Customer Care Campaign,88,Molly Clark,100,113.99999999999999
Customer Care Campaign,89,Molly Clark,0,0
Customer Care Campaign,90,Molly Clark,100,0
Customer Care Campaign,91,Molly Clark,0,0
Customer Care Campaign,92,Molly Clark,100,118
Customer Care Campaign,94,Molly Clark,100,56.00000000000001
Customer Care Campaign,96,Molly Clark,100,148
Customer Care Campaign,97,Molly Clark,0,0
Customer Care Campaign,98,Molly Clark,100,0
Customer Care Campaign,100,Molly Clark,0,0
Customer Care Campaign,102,Molly Clark,100,102.60000000000001
Customer Care Campaign,104,Molly Clark,0,0
Customer Care Campaign,106,Molly Clark,0,0
Customer Care Campaign,108,Molly Clark,0,0
Customer Care Campaign,110,Molly Clark,0,0
Customer Care Campaign,112,Molly Clark,0,0
Customer Care Campaign,114,Molly Clark,0,0
Customer Care Campaign,116,Molly Clark,0,0
Customer Care Campaign,118,Molly Clark,0,0
Customer Care Campaign,103,Molly Clark,100,0
Customer Care Campaign,87,Molly Clark,0,0
Customer Care Campaign,107,Molly Clark,0,0
Customer Follow-up,56,Molly Clark,100,133
Customer Follow-up,58,Molly Clark,100,0
Customer Follow-up,62,Molly Clark,100,79
Customer Follow-up,64,Molly Clark,0,0
Customer Follow-up,66,Molly Clark,100,106.5
Customer Follow-up,68,Molly Clark,0,0
Customer Follow-up,70,Molly Clark,100,103.49999999999999
Customer Follow-up,72,Molly Clark,100,98
Customer Follow-up,74,Molly Clark,0,0
Customer Follow-up,76,Molly Clark,100,68.60000000000001
Customer Follow-up,77,Molly Clark,100,0
Customer Follow-up,78,Molly Clark,0,0
Customer Follow-up,80,Molly Clark,100,0
Customer Follow-up,82,Molly Clark,0,0
Customer Follow-up,84,Molly Clark,100,56.99999999999999
Customer Follow-up,86,Molly Clark,100,63
Customer Follow-up,88,Molly Clark,0,0
Customer Follow-up,89,Molly Clark,0,0
Customer Follow-up,90,Molly Clark,100,63.3
Customer Follow-up,91,Molly Clark,100,0
Customer Follow-up,92,Molly Clark,0,0
Customer Follow-up,94,Molly Clark,0,0
Customer Follow-up,96,Molly Clark,0,0
Customer Follow-up,98,Molly Clark,0,0
Customer Follow-up,100,Molly Clark,0,0
Customer Follow-up,102,Molly Clark,0,0
Customer Follow-up,104,Molly Clark,0,0
Customer Follow-up,106,Molly Clark,0,0
Market Trends Newsletter,52,Molly Clark,100,0
Market Trends Newsletter,56,Molly Clark,0,0
Market Trends Newsletter,58,Molly Clark,100,0
Market Trends Newsletter,62,Molly Clark,100,0
Market Trends Newsletter,63,Molly Clark,0,0
Market Trends Newsletter,64,Molly Clark,100,0
Market Trends Newsletter,66,Molly Clark,0,0
Market Trends Newsletter,68,Molly Clark,0,0
Market Trends Newsletter,70,Molly Clark,100,0
Market Trends Newsletter,72,Molly Clark,100,0
Market Trends Newsletter,74,Molly Clark,100,54
Market Trends Newsletter,76,Molly Clark,100,120
Market Trends Newsletter,77,Molly Clark,0,0
Market Trends Newsletter,78,Molly Clark,0,0
Market Trends Newsletter,80,Molly Clark,100,71
Market Trends Newsletter,82,Molly Clark,0,0
Market Trends Newsletter,83,Molly Clark,0,0
Market Trends Newsletter,84,Molly Clark,100,0
Market Trends Newsletter,86,Molly Clark,100,0
Market Trends Newsletter,88,Molly Clark,100,0
Market Trends Newsletter,90,Molly Clark,100,109.00000000000001
Market Trends Newsletter,92,Molly Clark,0,0
Market Trends Newsletter,94,Molly Clark,100,131.5
Market Trends Newsletter,96,Molly Clark,0,0
Market Trends Newsletter,98,Molly Clark,0,0
Market Trends Newsletter,100,Molly Clark,0,0
Market Trends Newsletter,102,Molly Clark,0,0
Market Trends Newsletter,104,Molly Clark,0,0
Market Trends Newsletter,108,Molly Clark,25,0
Market Trends Newsletter,112,Molly Clark,0,0
Market Trends Newsletter,103,Molly Clark,0,0
Monthly Newsletter,52,Molly Clark,0,0
Monthly Newsletter,56,Molly Clark,100,0
Monthly Newsletter,58,Molly Clark,100,80
Monthly Newsletter,62,Molly Clark,100,91.5
Monthly Newsletter,64,Molly Clark,0,0
Monthly Newsletter,66,Molly Clark,100,94.25
Monthly Newsletter,68,Molly Clark,100,104
Monthly Newsletter,70,Molly Clark,100,106.66666666666667
Monthly Newsletter,72,Molly Clark,100,124.50000000000001
Monthly Newsletter,74,Molly Clark,100,103
Monthly Newsletter,76,Molly Clark,100,93.7
Monthly Newsletter,77,Molly Clark,100,0
Monthly Newsletter,78,Molly Clark,100,0
Monthly Newsletter,80,Molly Clark,100,54
Monthly Newsletter,81,Molly Clark,0,0
Monthly Newsletter,82,Molly Clark,100,90.66666666666666
Monthly Newsletter,84,Molly Clark,100,0
Monthly Newsletter,86,Molly Clark,100,97
Monthly Newsletter,88,Molly Clark,100,105
Monthly Newsletter,89,Molly Clark,100,0
Monthly Newsletter,90,Molly Clark,86.36363636363636,55.60000000000001
Monthly Newsletter,91,Molly Clark,100,0
Monthly Newsletter,92,Molly Clark,0,0
Monthly Newsletter,94,Molly Clark,0,0
Monthly Newsletter,95,Molly Clark,0,0
Monthly Newsletter,96,Molly Clark,44.44444444444444,101
Monthly Newsletter,97,Molly Clark,100,0
Monthly Newsletter,98,Molly Clark,0,0
Monthly Newsletter,100,Molly Clark,0,0
Monthly Newsletter,102,Molly Clark,0,0
Monthly Newsletter,104,Molly Clark,0,0
Monthly Newsletter,106,Molly Clark,0,0
Monthly Newsletter,110,Molly Clark,0,0
Monthly Newsletter,114,Molly Clark,0,0
Monthly Newsletter,116,Molly Clark,0,0
Monthly Newsletter,118,Molly Clark,0,0
New Product Releases,52,Molly Clark,100,99
New Product Releases,56,Molly Clark,100,54
New Product Releases,58,Molly Clark,100,80.5
New Product Releases,60,Molly Clark,100,0
New Product Releases,62,Molly Clark,100,86
New Product Releases,63,Molly Clark,0,0
New Product Releases,64,Molly Clark,100,0
New Product Releases,66,Molly Clark,100,0
New Product Releases,68,Molly Clark,0,0
New Product Releases,69,Molly Clark,0,0
New Product Releases,70,Molly Clark,100,81
New Product Releases,72,Molly Clark,100,122.66666666666666
New Product Releases,74,Molly Clark,0,0
New Product Releases,75,Molly Clark,0,0
New Product Releases,76,Molly Clark,100,62.3
New Product Releases,77,Molly Clark,100,120
New Product Releases,78,Molly Clark,100,0
New Product Releases,80,Molly Clark,100,0
New Product Releases,82,Molly Clark,0,0
New Product Releases,83,Molly Clark,0,0
New Product Releases,84,Molly Clark,100,114.99999999999999
New Product Releases,86,Molly Clark,100,117.5
New Product Releases,88,Molly Clark,100,63
New Product Releases,89,Molly Clark,0,0
New Product Releases,90,Molly Clark,100,109.5
New Product Releases,91,Molly Clark,100,0
New Product Releases,92,Molly Clark,0,0
New Product Releases,94,Molly Clark,100,117
New Product Releases,95,Molly Clark,0,0
New Product Releases,96,Molly Clark,0,0
New Product Releases,97,Molly Clark,0,0
New Product Releases,98,Molly Clark,100,0
New Product Releases,100,Molly Clark,0,0
New Product Releases,102,Molly Clark,0,0
New Product Releases,104,Molly Clark,0,0
New Product Releases,110,Molly Clark,0,0
New Product Releases,112,Molly Clark,0,0
New Product Releases,103,Molly Clark,0,0
Twitter,52,Molly Clark,100,0
Twitter,56,Molly Clark,0,0
Twitter,58,Molly Clark,100,0
Twitter,62,Molly Clark,100,0
Twitter,64,Molly Clark,100,75
Twitter,66,Molly Clark,100,0
Twitter,68,Molly Clark,0,0
Twitter,69,Molly Clark,0,0
Twitter,70,Molly Clark,100,0
Twitter,72,Molly Clark,100,81
Twitter,74,Molly Clark,100,0
Twitter,76,Molly Clark,100,118.5
Twitter,78,Molly Clark,100,0
Twitter,80,Molly Clark,100,55.00000000000001
Twitter,82,Molly Clark,0,0
Twitter,83,Molly Clark,0,0
Twitter,84,Molly Clark,100,0
Twitter,86,Molly Clark,100,0
Twitter,88,Molly Clark,0,0
Twitter,89,Molly Clark,0,0
Twitter,90,Molly Clark,100,80
Twitter,92,Molly Clark,0,0
Twitter,94,Molly Clark,100,84
Twitter,95,Molly Clark,100,0
Twitter,96,Molly Clark,0,0
Twitter,98,Molly Clark,0,0
Twitter,104,Molly Clark,100,0
Twitter,108,Molly Clark,33.33333333333333,0
(Blank),34,Alicia Thomber,0,0
(Blank),38,Alicia Thomber,100,77
(Blank),40,Alicia Thomber,100,69
(Blank),44,Alicia Thomber,0,0
(Blank),45,Alicia Thomber,0,0
(Blank),46,Alicia Thomber,100,74
(Blank),48,Alicia Thomber,100,96
(Blank),50,Alicia Thomber,0,0
(Blank),52,Alicia Thomber,100,58.599999999999994
(Blank),54,Alicia Thomber,100,113.75
(Blank),56,Alicia Thomber,100,62.1
(Blank),58,Alicia Thomber,100,65.9
(Blank),59,Alicia Thomber,0,0
(Blank),60,Alicia Thomber,100,62.1
(Blank),62,Alicia Thomber,100,79.10000000000001
(Blank),63,Alicia Thomber,100,112.99999999999999
(Blank),64,Alicia Thomber,100,79.60000000000001
(Blank),66,Alicia Thomber,100,123
(Blank),68,Alicia Thomber,100,58.599999999999994
(Blank),69,Alicia Thomber,0,0
(Blank),70,Alicia Thomber,100,111.45
(Blank),71,Alicia Thomber,0,0
(Blank),72,Alicia Thomber,100,99.7
(Blank),73,Alicia Thomber,0,0
(Blank),74,Alicia Thomber,100,81
(Blank),75,Alicia Thomber,0,0
(Blank),76,Alicia Thomber,100,127.49999999999999
(Blank),77,Alicia Thomber,100,101.49999999999999
(Blank),78,Alicia Thomber,100,106.15
(Blank),80,Alicia Thomber,97.01492537313433,98.95
(Blank),81,Alicia Thomber,0,0
(Blank),82,Alicia Thomber,37.03703703703704,105
(Blank),83,Alicia Thomber,0,0
(Blank),84,Alicia Thomber,72.52747252747253,84
(Blank),85,Alicia Thomber,0,0
(Blank),86,Alicia Thomber,100,103.89999999999999
(Blank),88,Alicia Thomber,25,100
(Blank),89,Alicia Thomber,0,0
(Blank),90,Alicia Thomber,43.269230769230774,129.1
(Blank),91,Alicia Thomber,50,155
(Blank),92,Alicia Thomber,75,88.8
(Blank),94,Alicia Thomber,92.85714285714286,88.4
(Blank),95,Alicia Thomber,0,0
(Blank),96,Alicia Thomber,39.39393939393939,114.5
(Blank),97,Alicia Thomber,0,0
(Blank),98,Alicia Thomber,30.555555555555557,88.5
(Blank),100,Alicia Thomber,71.42857142857143,60
