Item.Category,Time.FiscalYear,Store.Chain,Item.Segment,Item.Buyer,Sales.TotalSales,Sales.TotalSalesLY,Sales.TotalUnits
010-Womens,2014,Fashions Direct,4027,"Buchanan, Alma",152961.40999999965,152209.64999999964,29422
010-Womens,2014,Fashions Direct,4027,"Ray, Violet",43425.50999999997,43416.519999999975,6923
010-Womens,2014,Fashions Direct,4027,"Carr, Slade",24899.85000000001,24343.290000000008,5347
010-Womens,2014,Fashions Direct,4027,"Mendez, Jerry",2502.699999999999,2502.699999999999,877
010-Womens,2014,Fashions Direct,4027,"Clemons, Uma",1079.88,1089.87,238
010-Womens,2014,Fashions Direct,4027,"Ward, Kermit",1022.4799999999998,1022.4799999999998,152
010-Womens,2014,Fashions Direct,4027,"Hubbard, Quintessa",446.55999999999995,446.55999999999995,55
010-Womens,2014,Fashions Direct,4027,"Watson, Skyler",322.75,322.75,42
010-Womens,2014,Fashions Direct,4027,"Rodriguez, Calista",163.77,163.77,37
010-Womens,2014,Fashions Direct,4027,"Lynn, Farrah",11,11,11
010-Womens,2014,Fashions Direct,4075,"Petty, Perry",89741.89000000012,,13249
010-Womens,2014,Fashions Direct,4075,"Buchanan, Alma",49292.90999999994,4501.750000000002,5959
010-Womens,2014,Fashions Direct,4075,"Hubbard, Quintessa",20797.490000000005,,7999
010-Womens,2014,Fashions Direct,4075,"Carr, Slade",12322.75,23.96,1652
010-Womens,2014,Fashions Direct,4075,"Wright, Howard",11678.230000000003,324.75,1905
010-Womens,2014,Fashions Direct,4075,"Barrett, Galvin",7026.890000000006,,1112
010-Womens,2014,Fashions Direct,4075,"Mccray, Nayda",5086.319999999998,,1919
010-Womens,2014,Fashions Direct,4075,"Long, Amy",1736.27,,176
010-Womens,2014,Fashions Direct,4075,"Rodriguez, Calista",1181.75,,414
010-Womens,2014,Fashions Direct,4075,"Mendez, Jerry",669.73,,303
010-Womens,2014,Fashions Direct,4075,"Monroe, Cody",499.56999999999994,,308
010-Womens,2014,Fashions Direct,4075,"HOUSE, HOUSE",459.70000000000005,,56
010-Womens,2014,Fashions Direct,4075,"Thomas, Shellie",246.69,,31
010-Womens,2014,Fashions Direct,4075,"Pierce, Amery",219.77999999999997,,22
010-Womens,2014,Fashions Direct,4075,"Clemons, Uma",115.42999999999999,,59
010-Womens,2014,Fashions Direct,4075,"Harper, Ferdinand",59.9,,10
010-Womens,2014,Fashions Direct,4075,"Gardner, Pascale",3,,1
010-Womens,2014,Fashions Direct,4020,"Buchanan, Alma",139367.41000000003,138732.79000000004,12135
010-Womens,2014,Fashions Direct,4020,"Ray, Violet",32859.97999999994,32874.96999999994,2663
010-Womens,2014,Fashions Direct,4020,"Carr, Slade",13416.070000000002,12511.090000000002,1441
010-Womens,2014,Fashions Direct,4020,"Hubbard, Quintessa",3837.2100000000005,3002.11,244
010-Womens,2014,Fashions Direct,4020,"Clemons, Uma",465.8,465.8,84
