Sales Data (Columnar).Sales Rep,Sum(With Actual budget.Additional 2),Sum(Sales Data (Columnar).Sales Forecast)
Aladdin Hawkins,5614865703.06001,26071794.303983033
Amanda Henderson,5614865703.06001,19546595.780332062
Andy Scott,5614865703.06001,20537184.916135035
Billy Brown,5614865703.06001,15534351.927807016
Brandon Harris,5614865703.06001,24195057.67101091
Charles Byers,5614865703.06001,12247549.939470137
Chris Morris,5614865703.06001,35716851.36960694
David Smith,5614865703.06001,19196699.4183812
Jesse Schmidt,5614865703.06001,20250803.809922453
Joe Evans,5614865703.06001,18133784.994174607
John Smith,5614865703.06001,22348583.111479193
Juan Carlos,5614865703.06001,20991336.43553167
Kenneth Peterson,5614865703.06001,25199251.421037387
Larry Young,5614865703.06001,25819266.792029705
Lois Mitchell,5614865703.06001,19026529.556362696
Martha Roberts,5614865703.06001,19955522.77622394
Martin Hammond,5614865703.06001,18467884.68061392
Mike Jones,5614865703.06001,25270870.85835941
Nick Benson,5614865703.06001,17257943.008488808
Roger Lewis,5614865703.06001,19785187.396083765
Roy Adams,5614865703.06001,19299888.786312222
Ruby White,5614865703.06001,19250220.38887625
Ryan Smith,5614865703.06001,19293262.100801837
Shawn Cooper,5614865703.06001,24919662.688580934
Steven Wright,5614865703.06001,20566755.73765973
William Green,5614865703.06001,22157360.130735148
