Sales Data (Columnar).Sales Rep,Sum(With Actual budget.Forecast),Sum(With Actual budget.Budget)
Aladdin Hawkins,9426285503.109985,9358109505.099998
Amanda Henderson,9426285503.109985,9358109505.099998
Andy Scott,9426285503.109985,9358109505.099998
Billy Brown,9426285503.109985,9358109505.099998
Brandon Harris,9426285503.109985,9358109505.099998
Charles Byers,9426285503.109985,9358109505.099998
Chris Morris,9426285503.109985,9358109505.099998
David Smith,9426285503.109985,9358109505.099998
Jesse Schmidt,9426285503.109985,9358109505.099998
Joe Evans,9426285503.109985,9358109505.099998
John Smith,9426285503.109985,9358109505.099998
Juan Carlos,9426285503.109985,9358109505.099998
Kenneth Peterson,9426285503.109985,9358109505.099998
Larry Young,9426285503.109985,9358109505.099998
Lois Mitchell,9426285503.109985,9358109505.099998
Martha Roberts,9426285503.109985,9358109505.099998
Martin Hammond,9426285503.109985,9358109505.099998
Mike Jones,9426285503.109985,9358109505.099998
Nick Benson,9426285503.109985,9358109505.099998
Roger Lewis,9426285503.109985,9358109505.099998
Roy Adams,9426285503.109985,9358109505.099998
Ruby White,9426285503.109985,9358109505.099998
Ryan Smith,9426285503.109985,9358109505.099998
Shawn Cooper,9426285503.109985,9358109505.099998
Steven Wright,9426285503.109985,9358109505.099998
William Green,9426285503.109985,9358109505.099998
