"Year","SalesTerritoryGroup2","SalesPerson","Month","Value Column Name","Value"
"2018","Australia","Lynn Tsoflias","January","Sales","220880"
"2018","Australia","Lynn Tsoflias","January","January -","220880"
"2018","Australia","Lynn Tsoflias","January","% Cont.","1"
"2018","Australia","Lynn Tsoflias","January","% Cont. GT","0.00587789624803389"
"2018","Australia","Lynn Tsoflias","January","Quota","594110"
"2018","Australia","Lynn Tsoflias","January","Sales - Quota","-373230"
"2018","Australia","Lynn Tsoflias","January","Variance","-0.6282169968524347"
"2018","Australia","Lynn Tsoflias","February","Sales","233698"
"2018","Australia","Lynn Tsoflias","February","February -","233698"
"2018","Australia","Lynn Tsoflias","February","% Cont.","1"
"2018","Australia","Lynn Tsoflias","February","% Cont. GT","0.004740567474519646"
"2018","Australia","Lynn Tsoflias","February","Quota","960778"
"2018","Australia","Lynn Tsoflias","February","Sales - Quota","-727080"
"2018","Australia","Lynn Tsoflias","February","Variance","-0.7567617076993853"
"2018","Australia","Lynn Tsoflias","March","Sales","308301"
"2018","Australia","Lynn Tsoflias","March","March -","308301"
"2018","Australia","Lynn Tsoflias","March","% Cont.","1"
"2018","Australia","Lynn Tsoflias","March","% Cont. GT","0.006994724632933322"
"2018","Australia","Lynn Tsoflias","March","Quota","581002"
"2018","Australia","Lynn Tsoflias","March","Sales - Quota","-272701"
"2018","Australia","Lynn Tsoflias","March","Variance","-0.4693632724155855"
"2018","Australia","Lynn Tsoflias","April","Sales","377288"
"2018","Australia","Lynn Tsoflias","April","April -","377288"
"2018","Australia","Lynn Tsoflias","April","% Cont.","1"
"2018","Australia","Lynn Tsoflias","April","% Cont. GT","0.009814443245735074"
"2018","Australia","Lynn Tsoflias","April","Quota","783165"
"2018","Australia","Lynn Tsoflias","April","Sales - Quota","-405877"
"2018","Australia","Lynn Tsoflias","April","Variance","-0.5182522201579488"
"2018","Australia","Lynn Tsoflias","May","Sales","840836"
"2018","Australia","Lynn Tsoflias","May","May -","840836"
"2018","Australia","Lynn Tsoflias","May","% Cont.","1"
"2018","Australia","Lynn Tsoflias","May","% Cont. GT","0.02025469943100355"
"2018","Australia","Lynn Tsoflias","May","Quota","402240"
"2018","Australia","Lynn Tsoflias","May","Sales - Quota","438596"
"2018","Australia","Lynn Tsoflias","May","Variance","1.0903838504375498"
"2018","Australia","Lynn Tsoflias","June","Sales","251369"
"2018","Australia","Lynn Tsoflias","June","June -","251369"
"2018","Australia","Lynn Tsoflias","June","% Cont.","1"
"2018","Australia","Lynn Tsoflias","June","% Cont. GT","0.0054535192579612205"
"2018","Australia","Lynn Tsoflias","June","Quota","169433"
"2018","Australia","Lynn Tsoflias","June","Sales - Quota","81936"
"2018","Australia","Lynn Tsoflias","June","Variance","0.4835893834140929"
"2018","Australia","Lynn Tsoflias","July","Sales","899866"
"2018","Australia","Lynn Tsoflias","July","July -","899866"
"2018","Australia","Lynn Tsoflias","July","% Cont.","1"
"2018","Australia","Lynn Tsoflias","July","% Cont. GT","0.0283382886540208"
"2018","Australia","Lynn Tsoflias","July","Quota","575738"
"2018","Australia","Lynn Tsoflias","July","Sales - Quota","324128"
"2018","Australia","Lynn Tsoflias","July","Variance","0.5629782991569082"
"2018","Australia","Lynn Tsoflias","August","Sales","155695"
"2018","Australia","Lynn Tsoflias","August","August -","155695"
