Year,SalesTerritoryGroup2,SalesPerson,Value Column Name,Value
"2018","Australia","Lynn Tsoflias","Sales","5619611"
"2018","Australia","Lynn Tsoflias","-","5619611"
"2018","Australia","Lynn Tsoflias","% Cont.","1"
"2018","Australia","Lynn Tsoflias","% Cont. GT","0.011323578293568538"
"2018","Australia","Lynn Tsoflias","Quota","7497724"
"2018","Australia","Lynn Tsoflias","Sales - Quota","-1878113"
"2018","Australia","Lynn Tsoflias","Variance","-0.2504910823604603"
"2018","Canada","Garrett Vargas","Sales","7729180"
"2018","Canada","Garrett Vargas","-","7729180"
"2018","Canada","Garrett Vargas","% Cont.","0.5242589783109433"
"2018","Canada","Garrett Vargas","% Cont. GT","0.015574383151268668"
"2018","Canada","Garrett Vargas","Quota","6616975"
"2018","Canada","Garrett Vargas","Sales - Quota","1112205"
"2018","Canada","Garrett Vargas","Variance","0.16808360315703172"
"2018","Canada","José Saraiva","Sales","7013877"
"2018","Canada","José Saraiva","-","7013877"
"2018","Canada","José Saraiva","% Cont.","0.47574102168905674"
"2018","Canada","José Saraiva","% Cont. GT","0.014133039698114268"
"2018","Canada","José Saraiva","Quota","7039068"
"2018","Canada","José Saraiva","Sales - Quota","-25191"
"2018","Canada","José Saraiva","Variance","-0.003578740821938359"
"2018","France","Ranjit Varkey Chudukatil","Sales","6332699"
"2018","France","Ranjit Varkey Chudukatil","-","6332699"
"2018","France","Ranjit Varkey Chudukatil","% Cont.","1"
"2018","France","Ranjit Varkey Chudukatil","% Cont. GT","0.012760458497234627"
"2018","France","Ranjit Varkey Chudukatil","Quota","7328935"
"2018","France","Ranjit Varkey Chudukatil","Sales - Quota","-996236"
"2018","France","Ranjit Varkey Chudukatil","Variance","-0.13593189187787857"
"2018","Germany","Rachel Valdez","Sales","6815657"
"2018","Germany","Rachel Valdez","-","6815657"
"2018","Germany","Rachel Valdez","% Cont.","1"
"2018","Germany","Rachel Valdez","% Cont. GT","0.013733624206659224"
"2018","Germany","Rachel Valdez","Quota","8844868"
"2018","Germany","Rachel Valdez","Sales - Quota","-2029211"
"2018","Germany","Rachel Valdez","Variance","-0.22942241760985013"
"2018","United Kingdom","Jae Pak","Sales","6416338"
"2018","United Kingdom","Jae Pak","-","6416338"
"2018","United Kingdom","Jae Pak","% Cont.","1"
"2018","United Kingdom","Jae Pak","% Cont. GT","0.012928992006919868"
"2018","United Kingdom","Jae Pak","Quota","6265469"
"2018","United Kingdom","Jae Pak","Sales - Quota","150869"
"2018","United Kingdom","Jae Pak","Variance","0.024079442416840627"
"2018","United States","David Campbell","Sales","7378306"
"2018","United States","David Campbell","-","7378306"
"2018","United States","David Campbell","% Cont.","0.2606396017077721"
"2018","United States","David Campbell","% Cont. GT","0.014867368162121275"
"2018","United States","David Campbell","Quota","5778592"
"2018","United States","David Campbell","Sales - Quota","1599714"
"2018","United States","David Campbell","Variance","0.27683456454444266"
"2018","United States","Pamela Ansman-Wolfe","Sales","6134704"
"2018","United States","Pamela Ansman-Wolfe","-","6134704"
"2018","United States","Pamela Ansman-Wolfe","% Cont.","0.2167092022416902"
"2018","United States","Pamela Ansman-Wolfe","% Cont. GT","0.012361496383267114"
"2018","United States","Pamela Ansman-Wolfe","Quota","7131643"
"2018","United States","Pamela Ansman-Wolfe","Sales - Quota","-996939"
"2018","United States","Pamela Ansman-Wolfe","Variance","-0.13979092896265277"
"2018","United States","Tete Mensa-Annan","Sales","7768146"
"2018","United States","Tete Mensa-Annan","-","7768146"
"2018","United States","Tete Mensa-Annan","% Cont.","0.2744107494928813"
"2018","United States","Tete Mensa-Annan","% Cont. GT","0.015652900072063932"
"2018","United States","Tete Mensa-Annan","Quota","6867468"
"2018","United States","Tete Mensa-Annan","Sales - Quota","900678"
"2018","United States","Tete Mensa-Annan","Variance","0.1311513937888025"
"2018","United States","Tsvi Reiter","Sales","7027305"
"2018","United States","Tsvi Reiter","-","7027305"
"2018","United States","Tsvi Reiter","% Cont.","0.2482404465576564"
"2018","United States","Tsvi Reiter","% Cont. GT","0.014160097266569813"
"2018","United States","Tsvi Reiter","Quota","5781475"
"2018","United States","Tsvi Reiter","Sales - Quota","1245830"
"2018","United States","Tsvi Reiter","Variance","0.21548653241603566"
"2019","Australia","Lynn Tsoflias","Sales","6649955"
"2019","Australia","Lynn Tsoflias","-","6649955"
"2019","Australia","Lynn Tsoflias","% Cont.","1"
"2019","Australia","Lynn Tsoflias","% Cont. GT","0.013399732844712485"
"2019","Australia","Lynn Tsoflias","Quota","6549978"
"2019","Australia","Lynn Tsoflias","Sales - Quota","99977"
"2019","Australia","Lynn Tsoflias","Variance","0.015263715389578407"
"2019","Canada","Garrett Vargas","Sales","6255487"
"2019","Canada","Garrett Vargas","-","6255487"
"2019","Canada","Garrett Vargas","% Cont.","0.4864616708544736"
"2019","Canada","Garrett Vargas","% Cont. GT","0.012604875463604184"
"2019","Canada","Garrett Vargas","Quota","5633012"
"2019","Canada","Garrett Vargas","Sales - Quota","622475"
"2019","Canada","Garrett Vargas","Variance","0.1105048240621536"
"2019","Canada","José Saraiva","Sales","6603670"
"2019","Canada","José Saraiva","-","6603670"
"2019","Canada","José Saraiva","% Cont.","0.5135383291455264"
"2019","Canada","José Saraiva","% Cont. GT","0.013306468058000766"
"2019","Canada","José Saraiva","Quota","6757662"
"2019","Canada","José Saraiva","Sales - Quota","-153992"
"2019","Canada","José Saraiva","Variance","-0.0227877629866661"
"2019","France","Ranjit Varkey Chudukatil","Sales","6827802"
"2019","France","Ranjit Varkey Chudukatil","-","6827802"
"2019","France","Ranjit Varkey Chudukatil","% Cont.","1"
"2019","France","Ranjit Varkey Chudukatil","% Cont. GT","0.013758096515930346"
"2019","France","Ranjit Varkey Chudukatil","Quota","6195938"
"2019","France","Ranjit Varkey Chudukatil","Sales - Quota","631864"
"2019","France","Ranjit Varkey Chudukatil","Variance","0.10198036197263433"
"2019","Germany","Rachel Valdez","Sales","7414663"
"2019","Germany","Rachel Valdez","-","7414663"
"2019","Germany","Rachel Valdez","% Cont.","1"
"2019","Germany","Rachel Valdez","% Cont. GT","0.014940627919072295"
"2019","Germany","Rachel Valdez","Quota","5970089"
"2019","Germany","Rachel Valdez","Sales - Quota","1444574"
"2019","Germany","Rachel Valdez","Variance","0.24196858706796498"
"2019","United Kingdom","Jae Pak","Sales","7818546"
"2019","United Kingdom","Jae Pak","-","7818546"
"2019","United Kingdom","Jae Pak","% Cont.","1"
"2019","United Kingdom","Jae Pak","% Cont. GT","0.015754456629269734"
"2019","United Kingdom","Jae Pak","Quota","6154026"
"2019","United Kingdom","Jae Pak","Sales - Quota","1664520"
"2019","United Kingdom","Jae Pak","Variance","0.27047659532150176"
"2019","United States","David Campbell","Sales","6831232"
"2019","United States","David Campbell","-","6831232"
"2019","United States","David Campbell","% Cont.","0.2617742186481221"
"2019","United States","David Campbell","% Cont. GT","0.013765008003851296"
"2019","United States","David Campbell","Quota","6646377"
"2019","United States","David Campbell","Sales - Quota","184855"
"2019","United States","David Campbell","Variance","0.027812897161867287"
"2019","United States","Pamela Ansman-Wolfe","Sales","6671090"
"2019","United States","Pamela Ansman-Wolfe","-","6671090"
"2019","United States","Pamela Ansman-Wolfe","% Cont.","0.25563754419134077"
"2019","United States","Pamela Ansman-Wolfe","% Cont. GT","0.013442320103374084"
"2019","United States","Pamela Ansman-Wolfe","Quota","7044455"
"2019","United States","Pamela Ansman-Wolfe","Sales - Quota","-373365"
"2019","United States","Pamela Ansman-Wolfe","Variance","-0.0530012612757126"
"2019","United States","Tete Mensa-Annan","Sales","7180384"
"2019","United States","Tete Mensa-Annan","-","7180384"
"2019","United States","Tete Mensa-Annan","% Cont.","0.27515379527345546"
"2019","United States","Tete Mensa-Annan","% Cont. GT","0.014468553143960824"
"2019","United States","Tete Mensa-Annan","Quota","5700002"
"2019","United States","Tete Mensa-Annan","Sales - Quota","1480382"
"2019","United States","Tete Mensa-Annan","Variance","0.25971604922243885"
"2019","United States","Tsvi Reiter","Sales","5413187"
"2019","United States","Tsvi Reiter","-","5413187"
"2019","United States","Tsvi Reiter","% Cont.","0.20743444188708163"
"2019","United States","Tsvi Reiter","% Cont. GT","0.010907631651412775"
"2019","United States","Tsvi Reiter","Quota","7492969"
"2019","United States","Tsvi Reiter","Sales - Quota","-2079782"
"2019","United States","Tsvi Reiter","Variance","-0.2775644741089947"
"2020","Australia","Lynn Tsoflias","Sales","14218109.252"
"2020","Australia","Lynn Tsoflias","-","14218109.252"
"2020","Australia","Lynn Tsoflias","% Cont.","1"
"2020","Australia","Lynn Tsoflias","% Cont. GT","0.028649647333513512"
"2020","Australia","Lynn Tsoflias","Quota","12949999.995000001"
"2020","Australia","Lynn Tsoflias","Sales - Quota","1268109.2569999993"
"2020","Australia","Lynn Tsoflias","Variance","0.09792349478684298"
"2020","Canada","Garrett Vargas","Sales","14537194.664"
"2020","Canada","Garrett Vargas","-","14537194.664"
"2020","Canada","Garrett Vargas","% Cont.","0.3582124851771127"
"2020","Canada","Garrett Vargas","% Cont. GT","0.029292607966396746"
"2020","Canada","Garrett Vargas","Quota","13499999.996999998"
"2020","Canada","Garrett Vargas","Sales - Quota","1037194.6670000032"
"2020","Canada","Garrett Vargas","Variance","0.07682923460966601"
"2020","Canada","José Saraiva","Sales","26045407.187"
"2020","Canada","José Saraiva","-","26045407.187"
"2020","Canada","José Saraiva","% Cont.","0.6417875148228874"
"2020","Canada","José Saraiva","% Cont. GT","0.05248178343124946"
"2020","Canada","José Saraiva","Quota","25499999.994000003"
"2020","Canada","José Saraiva","Sales - Quota","545407.1929999962"
"2020","Canada","José Saraiva","Variance","0.02138851737758146"
"2020","France","Ranjit Varkey Chudukatil","Sales","31216163.218"
"2020","France","Ranjit Varkey Chudukatil","-","31216163.218"
"2020","France","Ranjit Varkey Chudukatil","% Cont.","1"
"2020","France","Ranjit Varkey Chudukatil","% Cont. GT","0.06290091399989027"
"2020","France","Ranjit Varkey Chudukatil","Quota","31499999.997"
"2020","France","Ranjit Varkey Chudukatil","Sales - Quota","-283836.7790000029"
"2020","France","Ranjit Varkey Chudukatil","Variance","-0.00901069139768365"
"2020","Germany","Rachel Valdez","Sales","17906402.310999997"
"2020","Germany","Rachel Valdez","-","17906402.310999997"
"2020","Germany","Rachel Valdez","% Cont.","1"
"2020","Germany","Rachel Valdez","% Cont. GT","0.03608159862395192"
"2020","Germany","Rachel Valdez","Quota","21749999.997"
"2020","Germany","Rachel Valdez","Sales - Quota","-3843597.6860000044"
"2020","Germany","Rachel Valdez","Variance","-0.17671713501288072"
"2020","United Kingdom","Jae Pak","Sales","41168712.286"
"2020","United Kingdom","Jae Pak","-","41168712.286"
"2020","United Kingdom","Jae Pak","% Cont.","1"
